id,category,mzungu_message
51,Small talk,"Weather leo ni happy sana, sivyo? Sina uhakika kama nasema sawa."
52,Wants/Needs,"I want goat kidogo, unaweza kunisaidia?"
53,Politeness,"Asante sana teacher, that was very helpful kwangu."
54,Shopping,Bei gani ya mkate? It's too expensive kwa mimi.
55,Greetings mix,"Mambo vipi? I'm doing poa, asante sana!"
56,Learning/Classroom,"Sielewi vizuri, can you explain kwa Kiingereza kidogo?"
57,Shopping,Bei gani ya samaki? It's too expensive kwa mimi.
58,Wants/Needs,"Nataka mafuta, tafadhali, do you have?"
59,Health,"Ninaumwa kidogo, can you tell me jinsi ya kusema hospitalini?"
60,Shopping,"Ninataka kununua soup, do you accept mobile money?"
61,Culture,Ni heshima kufanya nini nikikutana na mzee? Please explain.
62,Learning/Classroom,"Nina swali kuhusu siku za wiki, is now a good time?"
63,Small talk,"Weather leo ni poa, sivyo? Sina uhakika kama nasema sawa."
64,Politeness,"Samahani, I made a mistake, unaweza kunisahihisha?"
65,Small talk,"Ninapenda kiti sana, I really like it too much!"
66,Wants/Needs,"Ninataka ku-buy saa, bei gani?"
67,Locations,Where is kanisa? Sielewi jinsi ya kuuliza kwa usahihi.
68,Locations,Is the hotel karibu au mbali? Sijui tofauti.
69,Locations,Mkahawani iko wapi? Is it far kutoka hapa?
70,Learning/Classroom,"Teacher, unaweza kunifundisha kuhusu maelekezo ya barabara?"
71,Learning/Classroom,"Teacher, unaweza kunifundisha kuhusu hali ya hewa?"
72,Locations,How do I get to home? Tafadhali nisaidie kwa maneno sahihi.
73,Locations,Is the village karibu au mbali? Sijui tofauti.
74,Wants/Needs,Can I get nguo? Sijui kama ni sahihi kusema hivi.
75,Locations,How do I get to the station? Tafadhali nisaidie kwa maneno sahihi.
76,Actions/Verbs,How do I say 'I want to cook' kwa usahihi?
77,Transport,Nauli ni bei gani mpaka mjini? Please explain kwa taratibu.
78,Actions/Verbs,Nili-read/study jana lakini sijui kama nimesema vizuri.
79,Small talk,"Weather leo ni good, sivyo? Sina uhakika kama nasema sawa."
80,Learning/Classroom,"Teacher, unaweza kunifundisha kuhusu salamu?"
81,Actions/Verbs,"Nita-wait kesho, is that sentensi sahihi?"
82,Transport,"Simama hapa, is that the right way ku-stop taxi?"
83,Locations,Where is ufunguo? Sielewi jinsi ya kuuliza kwa usahihi.
84,Shopping,How much ni blanketi? Naomba unipunguzie.
85,Actions/Verbs,Nili-close jana lakini sijui kama nimesema vizuri.
86,Actions/Verbs,"Ninataka ku-pay for simu, sijui vitenzi vizuri."
87,Actions/Verbs,"Ninataka ku-wash nyanya, sijui vitenzi vizuri."
88,Learning/Classroom,"Nina swali kuhusu sarufi ya Kiswahili, is now a good time?"
89,Wants/Needs,"Ninataka ku-buy meza, bei gani?"
90,Shopping,Bei gani ya simu? It's too expensive kwa mimi.
91,Actions/Verbs,"Nita-want kesho, is that sentensi sahihi?"
92,Actions/Verbs,How do I say 'I want to buy' kwa usahihi?
93,Wants/Needs,"Nataka shati, tafadhali, do you have?"
94,Locations,Is the hospital karibu au mbali? Sijui tofauti.
95,Small talk,"Weather leo ni fine, sivyo? Sina uhakika kama nasema sawa."
96,Wants/Needs,"Nataka mkate, tafadhali, do you have?"
97,Small talk,"Ninapenda meza sana, I really like it too much!"
98,Wants/Needs,"Ninataka ku-buy viatu, bei gani?"
99,Locations,Is the bus station karibu au mbali? Sijui tofauti.
100,Shopping,Bei gani ya mbuzi? It's too expensive kwa mimi.
101,Actions/Verbs,How do I say 'I want to open' kwa usahihi?
102,Shopping,How much ni kiazi? Naomba unipunguzie.
103,Actions/Verbs,How do I say 'I want to cry' kwa usahihi?
104,Small talk,"Ninapenda suruali sana, I really like it too much!"
105,Actions/Verbs,How do I say 'I want to close' kwa usahihi?
106,Locations,Where is mwalimu? Sielewi jinsi ya kuuliza kwa usahihi.
107,Shopping,Bei gani ya supu? It's too expensive kwa mimi.
108,Wants/Needs,"Nataka embe, tafadhali, do you have?"
109,Locations,Is home karibu au mbali? Sijui tofauti.
110,Learning/Classroom,"Nina swali kuhusu namba, is now a good time?"
111,Wants/Needs,"I want trousers kidogo, unaweza kunisaidia?"
112,Locations,"Nataka kwenda msikitini, unaweza kunielekeza?"
113,Wants/Needs,"Ninataka ku-buy wali, bei gani?"
114,Actions/Verbs,"Nita-think kesho, is that sentensi sahihi?"
115,Learning/Classroom,How do you say 'soldier' kwa Kiswahili sahihi?
116,Learning/Classroom,"Teacher, unaweza kunifundisha kuhusu sarufi ya Kiswahili?"
117,Wants/Needs,"Ninataka ku-buy kofia, bei gani?"
118,Actions/Verbs,"Ninataka ku-drink supu, sijui vitenzi vizuri."
119,Locations,Benki iko wapi? Is it far kutoka hapa?
120,Shopping,"Naomba risiti, is that neno sahihi?"
121,Learning/Classroom,"Nina swali kuhusu rangi, is now a good time?"
122,Learning/Classroom,"Teacher, unaweza kunifundisha kuhusu utamaduni wa Kitanzania?"
123,Actions/Verbs,"Nita-travel kesho, is that sentensi sahihi?"
124,Transport,Nauli ni bei gani mpaka mkahawani? Please explain kwa taratibu.
125,Locations,Shuleni iko wapi? Is it far kutoka hapa?
126,Shopping,Bei gani ya sabuni? It's too expensive kwa mimi.
127,Wants/Needs,"Naomba bread, is that ok kusema hivyo?"
128,Learning/Classroom,How do you say 'trousers' kwa Kiswahili sahihi?
129,Actions/Verbs,"Nita-understand kesho, is that sentensi sahihi?"
130,Actions/Verbs,"Nita-run kesho, is that sentensi sahihi?"
131,Transport,Nauli ni bei gani mpaka shuleni? Please explain kwa taratibu.
132,Shopping,How much ni nyanya? Naomba unipunguzie.
133,Small talk,"Napenda sana chakula cha Kitanzania, especially wali!"
134,Shopping,Bei gani ya meza? It's too expensive kwa mimi.
135,Locations,"Nataka kwenda sokoni, unaweza kunielekeza?"
136,Actions/Verbs,Nili-love/like jana lakini sijui kama nimesema vizuri.
137,Wants/Needs,"I want chicken kidogo, unaweza kunisaidia?"
138,Transport,Nauli ni bei gani mpaka dukani? Please explain kwa taratibu.
139,Small talk,"Ninapenda nyanya sana, I really like it too much!"
140,Locations,"Nataka kwenda hospitalini, unaweza kunielekeza?"
141,Shopping,"Ninataka kununua car, do you accept mobile money?"
142,Learning/Classroom,How do you say 'electricity' kwa Kiswahili sahihi?
143,Wants/Needs,"I want medicine kidogo, unaweza kunisaidia?"
144,Locations,Mjini iko wapi? Is it far kutoka hapa?
145,Greetings mix,"Hujambo! I am poa leo, na wewe?"
146,Actions/Verbs,"Nita-play kesho, is that sentensi sahihi?"
147,Actions/Verbs,Nili-want jana lakini sijui kama nimesema vizuri.
148,Wants/Needs,"Nataka saa, tafadhali, do you have?"
149,Wants/Needs,"Naomba vegetables, is that ok kusema hivyo?"
150,Wants/Needs,"I want cooking oil kidogo, unaweza kunisaidia?"
151,Locations,Is the bank karibu au mbali? Sijui tofauti.
152,Actions/Verbs,"Ninataka ku-pay for shati, sijui vitenzi vizuri."
153,Shopping,Bei gani ya sukari? It's too expensive kwa mimi.
154,Actions/Verbs,Nili-sell jana lakini sijui kama nimesema vizuri.
155,Greetings mix,"Hujambo! I am excited leo, na wewe?"
156,Shopping,Bei gani ya gari? It's too expensive kwa mimi.
157,Shopping,How much ni kofia? Naomba unipunguzie.
158,Locations,Is the station karibu au mbali? Sijui tofauti.
159,Greetings mix,"Hujambo! I am happy sana leo, na wewe?"
160,Greetings mix,"Mambo vipi? I'm doing okay kabisa, asante sana!"
161,Wants/Needs,Can I get yai? Sijui kama ni sahihi kusema hivi.
162,Learning/Classroom,"Nina swali kuhusu vivumishi, is now a good time?"
163,Wants/Needs,"Nataka kuku, tafadhali, do you have?"
164,Greetings mix,"Habari za asubuhi, teacher! Ni poa sana leo."
165,Actions/Verbs,Nili-wait jana lakini sijui kama nimesema vizuri.
166,Wants/Needs,Can I get kuku? Sijui kama ni sahihi kusema hivi.
167,Greetings mix,"Hujambo! I am fine leo, na wewe?"
168,Locations,Kijijini iko wapi? Is it far kutoka hapa?
169,Learning/Classroom,How do you say 'fish' kwa Kiswahili sahihi?
170,Locations,Where is begi? Sielewi jinsi ya kuuliza kwa usahihi.
171,Locations,Where is stesheni? Sielewi jinsi ya kuuliza kwa usahihi.
172,Shopping,How much ni yai? Naomba unipunguzie.
173,Locations,Hospitalini iko wapi? Is it far kutoka hapa?
174,Shopping,"Ninataka kununua chicken, do you accept mobile money?"
175,Greetings mix,"Mambo vipi? I'm doing excited, asante sana!"
176,Wants/Needs,"I want tea kidogo, unaweza kunisaidia?"
177,Locations,Where is msikiti? Sielewi jinsi ya kuuliza kwa usahihi.
178,Greetings mix,"Hujambo! I am okay kabisa leo, na wewe?"
179,Actions/Verbs,"Nita-clean kesho, is that sentensi sahihi?"
180,Greetings mix,"Habari za asubuhi, teacher! Ni okay kabisa sana leo."
181,Actions/Verbs,How do I say 'I want to travel' kwa usahihi?
182,Actions/Verbs,Nili-cook jana lakini sijui kama nimesema vizuri.
183,Shopping,How much ni viatu? Naomba unipunguzie.
184,Actions/Verbs,"Ninataka ku-drink ugali, sijui vitenzi vizuri."
185,Greetings mix,"Habari za asubuhi, teacher! Ni happy sana sana leo."
186,Small talk,"Napenda sana chakula cha Kitanzania, especially ugali!"
187,Learning/Classroom,How do you say 'egg' kwa Kiswahili sahihi?
188,Wants/Needs,"I want phone kidogo, unaweza kunisaidia?"
189,Shopping,Bei gani ya chumvi? It's too expensive kwa mimi.
190,Locations,"Nataka kwenda stendi, unaweza kunielekeza?"
191,Small talk,"Ninapenda kofia sana, I really like it too much!"
192,Wants/Needs,"Nataka supu, tafadhali, do you have?"
193,Wants/Needs,"Ninataka ku-buy chai, bei gani?"
194,Actions/Verbs,"Nita-close kesho, is that sentensi sahihi?"
195,Actions/Verbs,How do I say 'I want to know' kwa usahihi?
196,Shopping,How much ni ndizi? Naomba unipunguzie.
197,Greetings mix,"Hujambo! I am great leo, na wewe?"
198,Greetings mix,"Habari za asubuhi, teacher! Ni a bit tired sana leo."
199,Shopping,"Ninataka kununua meat, do you accept mobile money?"
200,Locations,Is the market karibu au mbali? Sijui tofauti.
201,Learning/Classroom,"Teacher, unaweza kunifundisha kuhusu mazungumzo ya sokoni?"
202,Actions/Verbs,Nili-wash jana lakini sijui kama nimesema vizuri.
203,Wants/Needs,"Nataka chakula, tafadhali, do you have?"
204,Wants/Needs,"I want towel kidogo, unaweza kunisaidia?"
205,Shopping,Bei gani ya mafuta? It's too expensive kwa mimi.
206,Shopping,"Ninataka kununua vegetables, do you accept mobile money?"
207,Small talk,"Napenda sana chakula cha Kitanzania, especially mkate!"
208,Greetings mix,"Mambo vipi? I'm doing happy sana, asante sana!"
209,Actions/Verbs,"Nita-sleep kesho, is that sentensi sahihi?"
210,Shopping,"Ninataka kununua watch, do you accept mobile money?"
211,Locations,Stesheni iko wapi? Is it far kutoka hapa?
212,Small talk,"Napenda sana chakula cha Kitanzania, especially nyanya!"
213,Learning/Classroom,"Nina swali kuhusu miezi ya mwaka, is now a good time?"
214,Wants/Needs,"I want soap kidogo, unaweza kunisaidia?"
215,Locations,"Nataka kwenda bandarini, unaweza kunielekeza?"
216,Small talk,"Weather leo ni nzuri, sivyo? Sina uhakika kama nasema sawa."
217,Actions/Verbs,"Ninataka ku-buy kofia, sijui vitenzi vizuri."
218,Wants/Needs,"Nataka nguo, tafadhali, do you have?"
219,Learning/Classroom,How do you say 'cooking oil' kwa Kiswahili sahihi?
220,Locations,"Nataka kwenda mkahawani, unaweza kunielekeza?"
221,Locations,How do I get to the field/airport? Tafadhali nisaidie kwa maneno sahihi.
222,Shopping,"Ninataka kununua hat, do you accept mobile money?"
223,Locations,Where is benki? Sielewi jinsi ya kuuliza kwa usahihi.
224,Greetings mix,"Mambo vipi? I'm doing nzuri, asante sana!"
225,Shopping,How much ni mafuta ya kupikia? Naomba unipunguzie.
226,Actions/Verbs,How do I say 'I want to work' kwa usahihi?
227,Actions/Verbs,"Nita-remember kesho, is that sentensi sahihi?"
228,Wants/Needs,"Ninataka ku-buy blanketi, bei gani?"
229,Actions/Verbs,"Nita-see kesho, is that sentensi sahihi?"
230,Small talk,"Ninapenda basi tiketi sana, I really like it too much!"
231,Actions/Verbs,Nili-eat jana lakini sijui kama nimesema vizuri.
232,Learning/Classroom,How do you say 'church' kwa Kiswahili sahihi?
233,Wants/Needs,"Ninataka ku-buy ndizi, bei gani?"
234,Locations,How do I get to the port? Tafadhali nisaidie kwa maneno sahihi.
235,Shopping,How much ni mboga? Naomba unipunguzie.
236,Wants/Needs,"Naomba rice, is that ok kusema hivyo?"
237,Transport,Nauli ni bei gani mpaka nyumbani? Please explain kwa taratibu.
238,Transport,Nauli ni bei gani mpaka kanisani? Please explain kwa taratibu.
239,Locations,Is town karibu au mbali? Sijui tofauti.
240,Actions/Verbs,"Ninataka ku-open chakula, sijui vitenzi vizuri."
241,Actions/Verbs,"Nita-buy kesho, is that sentensi sahihi?"
242,Wants/Needs,"I want sugar kidogo, unaweza kunisaidia?"
243,Wants/Needs,"Naomba fish, is that ok kusema hivyo?"
244,Locations,"Nataka kwenda nyumbani, unaweza kunielekeza?"
245,Wants/Needs,"I want car kidogo, unaweza kunisaidia?"
246,Greetings mix,"Habari za asubuhi, teacher! Ni good sana leo."
247,Actions/Verbs,"Nita-eat kesho, is that sentensi sahihi?"
248,Actions/Verbs,How do I say 'I want to understand' kwa usahihi?
249,Small talk,"Ninapenda nguo sana, I really like it too much!"
250,Actions/Verbs,How do I say 'I want to sing' kwa usahihi?
251,Locations,Is the office karibu au mbali? Sijui tofauti.
252,Actions/Verbs,"Ninataka ku-buy basi tiketi, sijui vitenzi vizuri."
253,Locations,Where is choo? Sielewi jinsi ya kuuliza kwa usahihi.
254,Wants/Needs,"Naomba trousers, is that ok kusema hivyo?"
255,Learning/Classroom,"Nina swali kuhusu salamu, is now a good time?"
256,Greetings mix,"Habari za asubuhi, teacher! Ni so so sana leo."
257,Actions/Verbs,Nili-clean jana lakini sijui kama nimesema vizuri.
258,Shopping,How much ni nguo? Naomba unipunguzie.
259,Actions/Verbs,How do I say 'I want to help' kwa usahihi?
260,Small talk,"Napenda sana chakula cha Kitanzania, especially chai!"
261,Wants/Needs,"Naomba bus ticket, is that ok kusema hivyo?"
262,Wants/Needs,Can I get wali? Sijui kama ni sahihi kusema hivi.
263,Shopping,How much ni sukari? Naomba unipunguzie.
264,Wants/Needs,Can I get blanketi? Sijui kama ni sahihi kusema hivi.
265,Learning/Classroom,"Nina swali kuhusu matamshi sahihi, is now a good time?"
266,Greetings mix,"Habari za asubuhi, teacher! Ni nzuri sana leo."
267,Actions/Verbs,Nili-walk jana lakini sijui kama nimesema vizuri.
268,Shopping,"Ninataka kununua pineapple, do you accept mobile money?"
269,Wants/Needs,"Nataka sabuni, tafadhali, do you have?"
270,Greetings mix,"Hujambo! I am a bit tired leo, na wewe?"
271,Learning/Classroom,"Nina swali kuhusu jinsi ya kuomba msaada, is now a good time?"
272,Learning/Classroom,"Nina swali kuhusu hali ya hewa, is now a good time?"
273,Learning/Classroom,How do you say 'towel' kwa Kiswahili sahihi?
274,Locations,Where is soko? Sielewi jinsi ya kuuliza kwa usahihi.
275,Wants/Needs,"Naomba bag, is that ok kusema hivyo?"
276,Actions/Verbs,"Nita-sell kesho, is that sentensi sahihi?"
277,Wants/Needs,"Naomba cooking oil, is that ok kusema hivyo?"
278,Wants/Needs,"Ninataka ku-buy yai, bei gani?"
279,Locations,Where is duka? Sielewi jinsi ya kuuliza kwa usahihi.
280,Actions/Verbs,"Ninataka ku-eat maji, sijui vitenzi vizuri."
281,Actions/Verbs,"Ninataka ku-pay for sabuni, sijui vitenzi vizuri."
282,Learning/Classroom,How do you say 'head' kwa Kiswahili sahihi?
283,Wants/Needs,Can I get kiti? Sijui kama ni sahihi kusema hivi.
284,Shopping,Bei gani ya shati? It's too expensive kwa mimi.
285,Wants/Needs,Can I get mafuta? Sijui kama ni sahihi kusema hivi.
286,Actions/Verbs,"Ninataka ku-open sabuni, sijui vitenzi vizuri."
287,Learning/Classroom,"Nina swali kuhusu maelekezo ya barabara, is now a good time?"
288,Wants/Needs,"I want mango kidogo, unaweza kunisaidia?"
289,Shopping,Bei gani ya mboga? It's too expensive kwa mimi.
290,Small talk,"Ninapenda kahawa sana, I really like it too much!"
291,Greetings mix,"Habari za asubuhi, teacher! Ni great sana leo."
292,Small talk,"Weather leo ni excited, sivyo? Sina uhakika kama nasema sawa."
293,Learning/Classroom,How do you say 'road' kwa Kiswahili sahihi?
294,Locations,Is the garden/park karibu au mbali? Sijui tofauti.
295,Locations,How do I get to the village? Tafadhali nisaidie kwa maneno sahihi.
296,Actions/Verbs,"Ninataka ku-wash viatu, sijui vitenzi vizuri."
297,Actions/Verbs,How do I say 'I want to run' kwa usahihi?
298,Wants/Needs,Can I get suruali? Sijui kama ni sahihi kusema hivi.
299,Shopping,Bei gani ya basi tiketi? It's too expensive kwa mimi.
300,Wants/Needs,"Naomba tomato, is that ok kusema hivyo?"
301,Learning/Classroom,"Teacher, unaweza kunifundisha kuhusu matamshi sahihi?"
302,Wants/Needs,"I want chair kidogo, unaweza kunisaidia?"
303,Wants/Needs,Can I get meza? Sijui kama ni sahihi kusema hivi.
304,Wants/Needs,"Nataka begi, tafadhali, do you have?"
305,Small talk,"Ninapenda supu sana, I really like it too much!"
306,Locations,How do I get to the bus station? Tafadhali nisaidie kwa maneno sahihi.
307,Actions/Verbs,Nili-know jana lakini sijui kama nimesema vizuri.
308,Locations,Sokoni iko wapi? Is it far kutoka hapa?
309,Small talk,"Ninapenda begi sana, I really like it too much!"
310,Greetings mix,"Mambo vipi? I'm doing a bit tired, asante sana!"
311,Actions/Verbs,Nili-forget jana lakini sijui kama nimesema vizuri.
312,Wants/Needs,Can I get chumvi? Sijui kama ni sahihi kusema hivi.
313,Actions/Verbs,"Ninataka ku-cook kahawa, sijui vitenzi vizuri."
314,Actions/Verbs,How do I say 'I want to wash' kwa usahihi?
315,Wants/Needs,Can I get ndizi? Sijui kama ni sahihi kusema hivi.
316,Locations,How do I get to the bank? Tafadhali nisaidie kwa maneno sahihi.
317,Shopping,"Ninataka kununua book, do you accept mobile money?"
318,Actions/Verbs,Nili-pay jana lakini sijui kama nimesema vizuri.
319,Shopping,Bei gani ya embe? It's too expensive kwa mimi.
320,Wants/Needs,"I want table kidogo, unaweza kunisaidia?"
321,Actions/Verbs,"Ninataka ku-drink mboga, sijui vitenzi vizuri."
322,Small talk,"Ninapenda yai sana, I really like it too much!"
323,Transport,Nauli ni bei gani mpaka kijijini? Please explain kwa taratibu.
324,Small talk,"Ninapenda kitabu sana, I really like it too much!"
325,Wants/Needs,Can I get sabuni? Sijui kama ni sahihi kusema hivi.
326,Actions/Verbs,"Ninataka ku-open saa, sijui vitenzi vizuri."
327,Transport,Nauli ni bei gani mpaka uwanjani? Please explain kwa taratibu.
328,Actions/Verbs,Nili-cry jana lakini sijui kama nimesema vizuri.
329,Learning/Classroom,How do you say 'house' kwa Kiswahili sahihi?
330,Shopping,How much ni simu? Naomba unipunguzie.
331,Wants/Needs,"Nataka kitabu, tafadhali, do you have?"
332,Small talk,"Napenda sana chakula cha Kitanzania, especially samaki!"
333,Actions/Verbs,"Nita-work kesho, is that sentensi sahihi?"
334,Shopping,"Ninataka kununua banana, do you accept mobile money?"
335,Shopping,"Ninataka kununua rice, do you accept mobile money?"
336,Wants/Needs,"I want book kidogo, unaweza kunisaidia?"
337,Wants/Needs,"I want food kidogo, unaweza kunisaidia?"
338,Actions/Verbs,"Ninataka ku-open chumvi, sijui vitenzi vizuri."
339,Wants/Needs,"Naomba food, is that ok kusema hivyo?"
340,Wants/Needs,"Ninataka ku-buy sabuni, bei gani?"
341,Wants/Needs,Can I get samaki? Sijui kama ni sahihi kusema hivi.
342,Wants/Needs,"Nataka chai, tafadhali, do you have?"
343,Shopping,Bei gani ya nanasi? It's too expensive kwa mimi.
344,Wants/Needs,"Ninataka ku-buy nyama, bei gani?"
345,Actions/Verbs,"Ninataka ku-sell meza, sijui vitenzi vizuri."
346,Locations,Where is kitabu? Sielewi jinsi ya kuuliza kwa usahihi.
347,Learning/Classroom,"Teacher, unaweza kunifundisha kuhusu namba?"
348,Learning/Classroom,"Nina swali kuhusu utamaduni wa Kitanzania, is now a good time?"
349,Actions/Verbs,How do I say 'I want to see' kwa usahihi?
350,Actions/Verbs,"Ninataka ku-close saa, sijui vitenzi vizuri."
351,Actions/Verbs,"Ninataka ku-cook supu, sijui vitenzi vizuri."
352,Actions/Verbs,"Nita-wash kesho, is that sentensi sahihi?"
353,Learning/Classroom,"Nina swali kuhusu vyakula vya Kitanzania, is now a good time?"
354,Transport,Nauli ni bei gani mpaka msikitini? Please explain kwa taratibu.
355,Shopping,Bei gani ya kahawa? It's too expensive kwa mimi.
356,Actions/Verbs,Nili-think jana lakini sijui kama nimesema vizuri.
357,Small talk,"Ninapenda chumvi sana, I really like it too much!"
358,Greetings mix,"Mambo vipi? I'm doing so so, asante sana!"
359,Actions/Verbs,"Nita-arrive kesho, is that sentensi sahihi?"
360,Learning/Classroom,"Teacher, unaweza kunifundisha kuhusu rangi?"
361,Locations,Where is simu? Sielewi jinsi ya kuuliza kwa usahihi.
362,Transport,Nauli ni bei gani mpaka bustanini? Please explain kwa taratibu.
363,Wants/Needs,"Naomba water, is that ok kusema hivyo?"
364,Wants/Needs,"Naomba book, is that ok kusema hivyo?"
365,Locations,Where is ofisi? Sielewi jinsi ya kuuliza kwa usahihi.
366,Greetings mix,"Hujambo! I am so so leo, na wewe?"
367,Locations,Chuoni iko wapi? Is it far kutoka hapa?
368,Actions/Verbs,"Ninataka ku-close mafuta ya kupikia, sijui vitenzi vizuri."
369,Shopping,"Ninataka kununua medicine, do you accept mobile money?"
370,Shopping,How much ni sabuni? Naomba unipunguzie.
371,Transport,Nauli ni bei gani mpaka chuoni? Please explain kwa taratibu.
372,Shopping,Bei gani ya yai? It's too expensive kwa mimi.
373,Actions/Verbs,How do I say 'I want to drink' kwa usahihi?
374,Actions/Verbs,"Ninataka ku-cook mboga, sijui vitenzi vizuri."
375,Locations,Ofisini iko wapi? Is it far kutoka hapa?
376,Small talk,"Ninapenda shati sana, I really like it too much!"
377,Greetings mix,"Mambo vipi? I'm doing good, asante sana!"
378,Locations,How do I get to the hotel? Tafadhali nisaidie kwa maneno sahihi.
379,Wants/Needs,"Ninataka ku-buy basi tiketi, bei gani?"
380,Wants/Needs,"Nataka yai, tafadhali, do you have?"
381,Small talk,"Ninapenda sukari sana, I really like it too much!"
382,Small talk,"Napenda sana chakula cha Kitanzania, especially ndizi!"
383,Shopping,How much ni kitabu? Naomba unipunguzie.
384,Wants/Needs,"Naomba soap, is that ok kusema hivyo?"
385,Wants/Needs,"Ninataka ku-buy kitabu, bei gani?"
386,Actions/Verbs,How do I say 'I want to sleep' kwa usahihi?
387,Shopping,Bei gani ya begi? It's too expensive kwa mimi.
388,Actions/Verbs,How do I say 'I want to love/like' kwa usahihi?
389,Locations,Stendi iko wapi? Is it far kutoka hapa?
390,Wants/Needs,"Naomba tea, is that ok kusema hivyo?"
391,Small talk,"Napenda sana chakula cha Kitanzania, especially kahawa!"
392,Small talk,"Ninapenda sabuni sana, I really like it too much!"
393,Actions/Verbs,"Ninataka ku-eat ndizi, sijui vitenzi vizuri."
394,Learning/Classroom,How do you say 'father' kwa Kiswahili sahihi?
395,Locations,"Nataka kwenda dukani, unaweza kunielekeza?"
396,Wants/Needs,Can I get kofia? Sijui kama ni sahihi kusema hivi.
397,Wants/Needs,"Naomba goat, is that ok kusema hivyo?"
398,Learning/Classroom,How do you say 'elephant' kwa Kiswahili sahihi?
399,Wants/Needs,"Nataka taulo, tafadhali, do you have?"
400,Shopping,Bei gani ya dawa? It's too expensive kwa mimi.
401,Small talk,"Weather leo ni okay kabisa, sivyo? Sina uhakika kama nasema sawa."
402,Small talk,"Napenda sana chakula cha Kitanzania, especially supu!"
403,Learning/Classroom,"Nina swali kuhusu vitenzi, is now a good time?"
404,Small talk,"Ninapenda blanketi sana, I really like it too much!"
405,Wants/Needs,Can I get shati? Sijui kama ni sahihi kusema hivi.
406,Actions/Verbs,Nili-arrive jana lakini sijui kama nimesema vizuri.
407,Shopping,How much ni mkate? Naomba unipunguzie.
408,Learning/Classroom,"Teacher, unaweza kunifundisha kuhusu vitenzi?"
